CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
syriac_christianity;Nestorian;;;;;;;;;;X;;;;;;;
mormon;Mormon;;;;;;;;;;X;;;;;;;
sufi;Sufi;;;;;;;;;;X;;;;;;;
haredim;Haredi;;;;;;;;;;X;;;;;;;
sufi;Sufi;;;;;;;;;;X;;;;;;;
buddhist_gelugpa;Gelupa;;;;;;;;;;X;;;;;;;
buddhist_theravada;Theravada;;;;;;;;;;X;;;;;;;
jain;Jain;;;;;;;;;;X;;;;;;;
chinese_folk_religion;Chinese Folk Religion;;;;;;;;;;X;;;;;;;
zoroastrian;Zoroastrian;;;;;;;;;;X;;;;;;;
yazidi;Yazidi;;;;;;;;;;X;;;;;;;
animist_european;Neo-Pagan;;;;;;;;;;X;;;;;;;
animist_africa;African Folk Religion;;;;;;;;;;X;;;;;;;
animist_asia;Asianic Folk Religion;;;;;;;;;;X;;;;;;;
animist_america;Indigenous Folk Religion;;;;;;;;;;X;;;;;;;
bahai;Baháʼí Faith;;;;;;;;;;X;;;;;;;
